date,bond_index_price,future_price
2025-06-02,,301.8
2025-06-03,,302.14
2025-06-04,,302.28
2025-06-05,,301.62
2025-06-06,,302.1
2025-06-09,,302.08
2025-06-10,,302.38
2025-06-11,,302.7
2025-06-12,,302.1
2025-06-13,,301.28
2025-06-16,,302.0
2025-06-17,,301.5
2025-06-18,,301.12
2025-06-19,,300.46
2025-06-20,,301.0
2025-06-23,301.0736,301.0
2025-06-24,301.595,301.0
2025-06-25,301.5372,301.0
2025-06-26,301.2541,301.0
2025-06-27,301.1766,301.0
2025-06-30,301.3548,301.0
2025-07-01,301.4343,301.0
2025-07-02,301.584,301.0
2025-07-03,301.8817,301.0
2025-07-04,301.9676,301.0
2025-07-07,302.1445,301.0
2025-07-08,301.4794,301.0
2025-07-09,301.3431,301.0
2025-07-10,300.9845,301.0
2025-07-11,301.1065,301.0
